county,yearG3,sex,raceCode,CAUSE,Ndeaths,Level,pop,rateSE,aRate,LCI,UCI,aSE,bestRate,bestSE,lowRace,rateRatio,Ztest,pValue,pMark
Alameda,2016-2018,Total,Black-NH,B06,95,lev2,565647,1.72312,13.5173,10.8621,16.749,1.42906,7.333,0.703658,Asian-NH,1.8,3.882402978092481,5.17146442161609e-5,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,B07,242,lev2,565647,2.75019,34.8847,30.5097,39.8226,2.30681,16.3011,1.72737,Hisp,2.1,6.4484500113269,5.649991585698899e-11,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,B09,110,lev2,565647,1.85418,16.1268,13.1844,19.6476,1.57705,6.39051,0.644424,Asian-NH,2.5,5.71501254619875,5.484796505861311e-9,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,B10,54,lev2,565647,1.29913,8.2955,6.16839,11.0333,1.16645,2.96876,0.444351,Asian-NH,2.8,4.267468539742338,9.885182074675924e-6,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,B12,80,lev2,565647,1.58125,12.2963,9.68532,15.5052,1.41209,3.69216,0.50199800000000006,Asian-NH,3.3,5.741198686755125,4.700435596305397e-9,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,B13,26,lev2,565647,0.901449,3.91377,2.52161,5.9333,0.789908,1.97049,0.358116,Asian-NH,2,2.240620063464696,0.012525347983900148,No Difference
Alameda,2016-2018,Total,Black-NH,B14,27,lev2,565647,0.918621,3.64135,2.3779,5.5048,0.714605,1.95937,0.373028,Asian-NH,1.9,2.0865440948559995,0.018464682654875553,No Difference
Alameda,2016-2018,Total,Black-NH,B15,26,lev2,565647,0.901449,3.92935,2.53584,5.94936,0.790368,2.74933,0.430083,Asian-NH,1.4,1.3114142956428003,0.09485891581912398,No Difference
Alameda,2016-2018,Total,Black-NH,B16,64,lev2,565647,1.41431,10.0659,7.69148,13.05,1.2936,6.24416,0.647647,Asian-NH,1.6,2.6417537709137164,0.0041238996595655,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,B17,31,lev2,565647,0.984318,4.53955,3.04998,6.64254,0.836844,3.96683,0.540811,Asian-NH,1.1,0.5747975036282255,0.2827141276354279,No Difference
Alameda,2016-2018,Total,Black-NH,B99,158,lev2,565647,2.2222,23.3993,19.7876,27.5886,1.9199600000000001,11.7895,0.895838,Asian-NH,2,5.479752695557829,2.1296037044926663e-8,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,C01,324,lev2,565647,3.1822,49.4026,44.0469,55.3303,2.81064,16.501,1.06577,Asian-NH,3,10.945595922916262,0,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,C02,552,lev2,565647,4.15359,83.2193,76.2501,90.753,3.63304,38.1169,1.61189,Asian-NH,2.2,11.347756808251848,0,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,C03,384,lev2,565647,3.46434,59.8265,53.851,66.3787,3.1286,31.7687,1.47567,Asian-NH,1.9,8.111176202414388,2.220446049250313e-16,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,C04,117,lev2,565647,1.91226,17.6492,14.5073,21.3783,1.68176,2.99938,0.45265,Asian-NH,5.9,8.411648970317664,0,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,C05,118,lev2,565647,1.92042,17.8325,14.6878,21.5614,1.68239,7.16034,0.692455,Asian-NH,2.5,5.86601164129138,2.232012352720858e-9,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,C99,317,lev2,565647,3.14763,47.0338,41.8686,52.7649,2.71166,18.9831,1.14789,Asian-NH,2.5,9.526104380949688,0,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,D01,149,lev2,565647,2.15798,21.7466,18.3037,25.7626,1.83231,7.24243,0.693195,Asian-NH,3,7.403672992137725,6.628031457012185e-14,Sig. Higher (p<.01)
Alameda,2016-2018,Total,Black-NH,D02,103,lev2,565647,1.79421,15.3393,12.4507,18.8117,1.5509,5.63248,0.627098,Asian-NH,2.7,5.802444651932748,3.2677485162224684e-9,Sig. Higher (p<.01)
